NPS	        C,mm	M,mm
0.5x0.5x0.375	25	25
0.5x0.5x0.25	25	25
0.75x0.75x0.5	29	29
0.75x0.75x0.375	29	29
1x1x0.75	38	38
1x1x0.5	38	38
1.25x1.25x1	48	48
1.25x1.25x0.75	48	48
1.25x1.25x0.5	48	48
1.5x1.5x1.25	57	57
1.5x1.5x1	57	57
1.5x1.5x0.75	57	57
1.5x1.5x0.5	57	57
2x2x1.5	64	60
2x2x1.25	64	57
2x2x1	64	51
2x2x0.75	64	44
2.5x2.5x2	76	70
2.5x2.5x1.5	76	67
2.5x2.5x1.25	76	64
2.5x2.5x1	76	57
3x3x2.5	86	83
3x3x2	86	76
3x3x1.5	86	73
3x3x1.25	86	70
3.5x3.5x3	95	92
3.5x3.5x2.5	95	89
3.5x3.5x2	95	83
3.5x3.5x1.5	95	79
4x4x3.5	105	102
4x4x3	105	98
4x4x2.5	105	95
4x4x2	105	89
4x4x1.5	105	86
5x5x4	124	117
5x5x3.5	124	114
5x5x3	124	111
5x5x2.5	124	108
5x5x2	124	105
6x6x5	143	137
6x6x4	143	130
6x6x3.5	143	127
6x6x3	143	124
6x6x2.5	143	121
8x8x6	178	168
8x8x5	178	162
8x8x4	178	156
8x8x3.5	178	152
10x10x8	216	203
10x10x6	216	194
10x10x5	216	191
10x10x4	216	184
12x12x10	254	241
12x12x8	254	229
12x12x6	254	219
12x12x5	254	216
14x14x12	279	270
14x14x10	279	257
14x14x8	279	248
14x14x6	279	238
16x16x14	305	305
16x16x12	305	295
16x16x10	305	283
16x16x8	305	273
16x16x6	305	264
18x18x16	343	330
18x18x14	343	330
18x18x12	343	321
18x18x10	343	308
18x18x8	343	298
20x20x18	381	368
20x20x16	381	356
20x20x14	381	356
20x20x12	381	346
20x20x10	381	333
20x20x8	381	324
22x22x20	419	406
22x22x18	419	394
22x22x16	419	381
22x22x14	419	381
22x22x12	419	371
22x22x10	419	359
24x24x22	432	432
24x24x20	432	432
24x24x18	432	419
24x24x16	432	406
24x24x14	432	406
24x24x12	432	397
24x24x10	432	384
26x26x24	495	483
26x26x22	495	470
26x26x20	495	457
26x26x18	495	444
26x26x16	495	432
26x26x14	495	432
26x26x12	495	422
28x28x26	521	521
28x28x24	521	508
28x28x22	521	495
28x28x20	521	483
28x28x18	521	470
28x28x16	521	457
28x28x14	521	457
28x28x12	521	448
30x30x28	559	546
30x30x26	559	546
30x30x24	559	533
30x30x22	559	521
30x30x20	559	508
30x30x18	559	495
30x30x16	559	483
30x30x14	559	483
30x30x12	559	473
30x30x10	559	460
32x32x30	597	584
32x32x28	597	572
32x32x26	597	572
32x32x24	597	559
32x32x22	597	546
32x32x20	597	533
32x32x18	597	521
32x32x16	597	508
32x32x14	597	508
34x34x32	635	622
34x34x30	635	610
34x34x28	635	597
34x34x26	635	597
34x34x24	635	584
34x34x22	635	572
34x34x20	635	559
34x34x18	635	546
34x34x16	635	533
36x36x34	673	660
36x36x32	673	648
36x36x30	673	635
36x36x28	673	622
36x36x26	673	622
36x36x24	673	610
36x36x22	673	597
36x36x20	673	584
36x36x18	673	572
36x36x16	673	559
38x38x36	711	711
38x38x34	711	698
38x38x32	711	686
38x38x30	711	673
38x38x28	711	648
38x38x26	711	648
38x38x24	711	635
38x38x22	711	622
38x38x20	711	610
38x38x18	711	597
40x40x38	749	749
40x40x36	749	737
40x40x34	749	724
40x40x32	749	711
40x40x30	749	698
40x40x28	749	673
40x40x26	749	673
40x40x24	749	660
40x40x22	749	648
40x40x20	749	635
40x40x18	749	622
42x42x40	762	711
42x42x38	762	711
42x42x36	762	711
42x42x34	762	711
42x42x32	762	711
42x42x30	762	711
42x42x28	762	698
42x42x26	762	698
42x42x24	762	660
42x42x22	762	660
42x42x20	762	660
42x42x18	762	648
42x42x16	762	635
44x44x42	813	762
44x44x40	813	749
44x44x38	813	737
44x44x36	813	724
44x44x34	813	724
44x44x32	813	711
44x44x30	813	711
44x44x28	813	698
44x44x26	813	698
44x44x24	813	698
44x44x22	813	686
44x44x20	813	686
46x46x44	851	800
46x46x42	851	787
46x46x40	851	775
46x46x38	851	762
46x46x36	851	762
46x46x34	851	749
46x46x32	851	749
46x46x30	851	737
46x46x28	851	737
46x46x26	851	737
46x46x24	851	724
46x46x22	851	724
48x48x46	889	838
48x48x44	889	838
48x48x42	889	813
48x48x40	889	813
48x48x38	889	813
48x48x36	889	787
48x48x34	889	787
48x48x32	889	787
48x48x30	889	762
48x48x28	889	762
48x48x26	889	762
48x48x24	889	737
48x48x22	889	737
