NPS	C,mm	C,in	M,mm	M,in
0.5	25	1	25	1
0.75	29	1.12	29	1.12
1	38	1.5	38	1.5
1.25	48	1.88	48	1.88
1.5	57	2.25	57	2.25
2	64	2.5	64	2.5
2.5	76	3	76	3
3	86	3.38	86	3.38
3.5	95	3.75	95	3.75
4	105	4.12	105	4.12
5	124	4.88	124	4.88
6	143	5.62	143	5.62
8	178	7	178	7
10	216	8.5	216	8.5
12	254	10	254	10
14	279	11	279	11
16	305	12	305	12
18	343	13.5	343	13.5
20	381	15	381	15
22	419	16.5	419	16.5
24	432	17	432	17
26	495	19.5	495	19.5
28	521	20.5	521	20.5
30	559	22	559	22
32	597	23.5	597	23.5
34	635	25	635	25
36	673	26.5	673	26.5
38	711	28	711	28
40	749	29.5	749	29.5
42	762	30	711	28
44	813	32	762	30
46	851	33.5	800	31.5
48	889	35	838	33
