NPS	ASME150	ASME300	ASME600	ASME900	ASME1500	ASME2500	NORSOK150	NORSOK300	NORSOK600	NORSOK900	NORSOK1500	NORSOK2500	API10000
0.5	46	51	52	60	60	73	40	40	51	51	51	51	X
0.75	51	56	57	70	70	79	40	40	53	53	53	53	X
1	54	60	62	73	73	89	40	40	56	56	56	56	X
1.5	60	67	70	83	83	111	41	41	64	64	64	64	X
2	62	68	73	102	102	127	42	42	60	60	60	72	90.7
2.5	68	75	79	105	105	143	43	43	66	66	66	81	95.6
3	68	78	83	102	117	168	46	46	61	61	73	85	108.5
4	75	84	102	114	124	190	51	51	70	70	86	95	122
5	87	97	114	127	155	229	55	55	78	78	92	106	122
6	87	97	117	140	171	273	60	60	75	87	101	120	143.6
8	100	110	133	162	213	318	53	69	87	98	115	145	160.3
10	100	116	152	184	254	419	60	78	102	110	136	172	198.5
12	113	129	155	200	282	464	64	85	108	119	151	195	217.7
14	125	141	165	213	298	X	67	90	113	127	162	211	217.7
16	125	145	178	216	311	X	73	100	122	140	180	238	244.4
18	138	157	184	229	327	X	77	107	131	153	198	260	244.4
20	143	161	190	248	356	X	82	116	139	166	217	282	282.5
22	148	164	197	X	X	X	87	121	149	179	234	310	282.5
24	151	167	203	292	406	X	93	128	158	191	253	334	244.4
