NPS	150	300	600	900	1500	2500	10000
0.5	45	51	51	60	61	67	X
0.75	54	64	64	67	67	73	X
1	64	70	70	76	76	83	X
1.5	83	92	92	95	95	114	X
2	102	108	108	140	140	143	187
2.5	121	127	127	162	162	165	200
3	133	146	146	165	172	194	232
4	171	178	191	203	206	232	270
5	194	213	238	244	251	276	270
6	219	248	264	286	279	314	316
8	276	305	318	356	349	384	357
10	337	359	397	432	432	473	480
12	406	419	454	495	518	546	552
14	448	483	489	518	575	618	552
16	511	536	562	572	638	718	654
18	546	594	610	635	702	780	654
20	603	651	679	696	752	849	768
24	714	772	787	835	899	1039	871
