NPS	ASME150	ASME300	ASME600	ASME900	ASME1500	ASME2500	NORSOK150	NORSOK300	NORSOK600	NORSOK900	NORSOK1500	NORSOK2500	API10000
0.5	89	95	95	121	121	133	93	93	93	93	93	93	X
0.75	99	117	117	130	130	140	98	98	98	98	98	98	X
1	108	124	124	149	149	159	105	105	105	105	105	105	187
1.5	127	155	155	178	178	203	120	120	121	121	121	121	187
2	152	165	165	216	216	235	132	132	136	136	136	147	187
2.5	178	190	190	244	244	267	145	145	149	149	149	179	200
3	190	210	210	241	267	305	161	161	161	161	180	209	232
4	229	254	273	292	311	356	186	186	203	203	224	248	270
5	254	279	330	349	375	419	213	213	230	230	261	278	270
6	279	318	356	381	394	483	240	240	258	263	307	322	316
8	343	381	419	470	483	552	294	306	312	330	365	408	357
10	406	444	508	546	584	673	355	361	382	397	453	485	480
12	483	521	559	610	673	762	403	415	450	462	508	564	552
14	553	584	603	641	749	X	437	450	482	497	558	618	552
16	597	648	686	705	826	X	505	519	547	567	626	718	654
18	635	711	743	787	914	X	552	567	614	633	704	780	654
20	698	775	813	857	984	X	606	631	664	700	778.0.	849	768
22	749	838	870	X	X	X	661	685	730	764	850	958	768
24	813	914	940	1,041	1,168	X	730	750	785	830	933	1039	871
