NPS	150	300	600	900	1500	2500	10000
2	6.69	6.54	6.5	6.61	6.61	8.39	11.81
3	7.8	8.66	8.5	8.46	8.5	12.01	17.13
4	9.65	10	10	10.83	10.75	14.76	18.11
6	12.8	12.76	12.95	14.17	16.93	20.67	22.24
8	15.83	15.91	15.98	18.5	21.14	25.59	33.15
10	18.58	19.57	20.16	20.87	23.62	31.5	35.43
12	22.87	22.87	24.02	24.21	26.57	34.25	41.73
14	24.02	24.02	24.49	25.79	29.72	X	X
16	26.93	27.4	28.03	29.53	33.86	X	X
18	30.39	30.63	31.85	33.19	37.36	X	X
20	33.31	34.13	35.16	37.36	42.13	X	X
24	39.29	40.31	41.73	44.76	51.38	X	X
28	46.65	46.46	47.83	50.47	X	X	X
30	49.02	50.04	50.39	53.54	X	X	X
32	51.97	52.76	55.12	54.33	X	X	X
34	55.31	56.3	58.35	58.66	X	X	X
36	57.87	58.9	60.43	63.19	X	X	X
40	63.19	65.35	67.56	X	X	X	X
42	66.61	67.99	71.85	X	X	X	X
48	75.59	77.17	81.69	X	X	X	X
56	89.37	91.34	93.7	X	X	X	X
