NPS	150	300	600	900	1500	2500	10000
0.5	3	6.4	6.4	6.4	6.4	9.7	X
0.75	3	6.4	6.4	6.4	9.7	9.7	X
1	3	6.4	6.4	6.4	9.7	9.7	X
1.5	6.4	6.4	9.7	9.7	12.7	15.7	X
2	6.4	9.7	9.7	12.7	12.7	15.7	42.2
2.5	6.4	9.7	12.7	12.7	15.7	19.1	44
3	6.4	9.7	12.7	15.7	19.1	22.4	51.3
4	9.7	12.7	15.7	19.1	22.4	28.4	58.5
5	9.7	15.7	19.1	22.4	28.4	35.1	58.5
6	12.7	15.7	22.4	25.4	35.1	41.1	70.4
8	12.7	22.4	28.4	35.1	41.1	53.8	79.3
10	15.7	25.4	35.1	41.1	50.8	66.5	103.2
12	19.1	28.4	41.1	47.8	60.5	79.2	124
14	19.1	31.8	44.5	53.8	66.5	108	124
16	22.4	38.1	50.8	60.5	76.2	125	141.3
18	25.4	41.1	53.8	66.5	85.9	136	141.3
20	28.4	44.5	63.5	73.2	95.3	147	168.2
24	31.8	50.8	73.2	88.9	111.3	176	168.2
