NPS	ASME150	ASME300	ASME600	ASME900	ASME1500	ASME2500	NORSOK150	NORSOK300	NORSOK600	NORSOK900	NORSOK1500	NORSOK2500	API10000
0.5	9.7	12.7	14.2	22.4	22.4	30.2	15	15	20	20	20	20	X
0.75	11.2	14.2	15.7	25.4	25.4	31.8	15	15	20	20	20	20	X
1	12.7	15.7	17.5	28.4	28.4	35.1	15	15	20	20	20	20	42.2
1.5	15.9	19	22.4	31.8	31.8	44.4	15	15	23	23	23	23	42.2
2	17.5	20.6	25.4	38.1	38.1	50.8	15	15	23	23	23	27	42.2
2.5	20.6	23.9	28.4	41.1	41.1	57.2	16	16	26	26	26	32	44
3	22.4	26.9	31.8	38.1	47.8	66.5	18	18	25	25	30	36	51.3
4	22.4	30.2	38.1	44.5	53.8	76.2	22	22	31	31	37	44	58.5
5	22.4	33.3	44.4	50.8	73.2	91.9	25	25	35	35	43	50	58.5
6	23.9	35.1	47.8	55.6	82.6	108	28	28	36	40	50	58	70.4
8	26.9	39.6	55.6	63.5	91.9	127	26	35	43	50	60	72	79.3
10	28.4	46	63.5	69.8	108	165.1	32	42	53	60	75	88	103.2
12	30.2	49.3	66.5	79.2	124	184.2	35	47	60	68	83	99	124
14	33.3	52.3	69.8	85.9	133.4	X	38	50	64	73	89	108	124
16	35.1	55.6	76.2	88.9	146	X	42	58	73	82	105	125	141.3
18	38.1	58.7	82.6	101.6	162.1	X	46	63	80	90	111	136	141.3
20	41.1	62	88.9	108	177.8	X	50	69	86	99	126	147	168.2
22	44.4	65	95.2	X	X	X	54	74	94	107	142	163	168.2
24	46	68.3	101.6	139.7	203.2	X	59	81	100	115	146	176	168.2
